,amine_single_point,acid_single_point,product_single_point,delta_g_reaction
0,-326.648306970027,-424.14392926519,-674.41225301212,76.37998322309704
,amine_single_point,acid_single_point,product_single_point,delta_g_reaction
0,-326.648306970027,-574.232603882341,-824.51956496531,76.36134588705806
,amine_single_point,acid_single_point,product_single_point,delta_g_reaction
0,-326.648306970027,-574.232603882341,-824.51956496531,76.36134588705806
,amine_single_point,acid_single_point,product_single_point,delta_g_reaction
0,-326.648306970027,-574.232603882341,-824.51956496531,76.36134588705806
,amine_single_point,acid_single_point,product_single_point,delta_g_reaction
0,-326.648306970027,-534.974580039992,-785.258331786327,76.36455522369204
,amine_single_point,acid_single_point,product_single_point,delta_g_reaction
0,-287.378225318522,-574.232603882341,-785.235049240784,76.37577996007906
,amine_single_point,acid_single_point,product_single_point,delta_g_reaction
0,-326.648306970027,-578.881691269279,-829.15834355571,76.37165468359603
,amine_single_point,acid_single_point,product_single_point,delta_g_reaction
0,-326.648306970027,-497.859388056054,-748.136068196955,76.37162682912606
,amine_single_point,acid_single_point,product_single_point,delta_g_reaction
0,-326.648306970027,-420.521547218235,-670.796894732494,76.37295945576795
,amine_single_point,acid_single_point,product_single_point,delta_g_reaction
0,-326.648306970027,-512.693125225355,-762.969277345884,76.37215484949786
,amine_single_point,acid_single_point,product_single_point,delta_g_reaction
0,-326.648306970027,-512.693125225355,-762.969277345884,76.37215484949786
,amine_single_point,acid_single_point,product_single_point,delta_g_reaction
0,-326.648306970027,-424.14392926519,-674.41225301212,76.37998322309704
,amine_single_point,acid_single_point,product_single_point,delta_g_reaction
0,-326.648306970027,-512.693125225355,-762.969277345884,76.37215484949786
,amine_single_point,acid_single_point,product_single_point,delta_g_reaction
0,-326.648306970027,-538.354184706518,-788.641240865046,76.36125081149908
,amine_single_point,acid_single_point,product_single_point,delta_g_reaction
0,-326.648306970027,-538.354184706518,-788.641240865046,76.36125081149908
,amine_single_point,acid_single_point,product_single_point,delta_g_reaction
0,-326.648306970027,-538.354184706518,-788.641240865046,76.36125081149908
,amine_single_point,acid_single_point,product_single_point,delta_g_reaction
0,-326.648306970027,-538.354184706518,-788.641240865046,76.36125081149908
,amine_single_point,acid_single_point,product_single_point,delta_g_reaction
0,-326.648306970027,-538.354184706518,-788.641240865046,76.36125081149908
,amine_single_point,acid_single_point,product_single_point,delta_g_reaction
0,-326.648306970027,-538.354184706518,-788.641240865046,76.36125081149908
,amine_single_point,acid_single_point,product_single_point,delta_g_reaction
0,-326.648306970027,-424.133226179889,-674.41225301212,76.36928013779595
,amine_single_point,acid_single_point,product_single_point,delta_g_reaction
0,-326.648306970027,-424.133226179889,-674.41225301212,76.36928013779595
,amine_single_point,acid_single_point,product_single_point,delta_g_reaction
0,-326.648306970027,-424.133226179889,-674.41225301212,76.36928013779595
,amine_single_point,acid_single_point,product_single_point,delta_g_reaction
0,-326.648306970027,-424.14392926519,-674.41225301212,76.37998322309704
,amine_single_point,acid_single_point,product_single_point,delta_g_reaction
0,-326.648306970027,-424.133226179889,-674.41225301212,76.36928013779595
,amine_single_point,acid_single_point,product_single_point,delta_g_reaction
0,-326.648306970027,-424.133226179889,-674.41225301212,76.36928013779595
,amine_single_point,acid_single_point,product_single_point,delta_g_reaction
0,-326.648306970027,-538.354184706518,-788.641240865046,76.36125081149908
,amine_single_point,acid_single_point,product_single_point,delta_g_reaction
0,-326.648306970027,-538.354184706518,-788.641240865046,76.36125081149908
,amine_single_point,acid_single_point,product_single_point,delta_g_reaction
0,-365.91968127061,-538.354184706518,-827.906205478648,76.36766049848006
,amine_single_point,acid_single_point,product_single_point,delta_g_reaction
0,-365.91968127061,-538.354184706518,-827.906205478648,76.36766049848006
,amine_single_point,acid_single_point,product_single_point,delta_g_reaction
0,-326.648306970027,-420.511845492984,-670.796894732494,76.36325773051692
,amine_single_point,acid_single_point,product_single_point,delta_g_reaction
0,-326.648306970027,-420.511845492984,-670.796894732494,76.36325773051692
,amine_single_point,acid_single_point,product_single_point,delta_g_reaction
0,-365.91968127061,-420.511845492984,-710.065523964353,76.36600279924096
,amine_single_point,acid_single_point,product_single_point,delta_g_reaction
0,-365.91968127061,-420.511845492984,-710.065523964353,76.36600279924096
,amine_single_point,acid_single_point,product_single_point,delta_g_reaction
0,-326.648306970027,-424.14392926519,-674.41225301212,76.37998322309704
,amine_single_point,acid_single_point,product_single_point,delta_g_reaction
0,-326.648306970027,-424.133293018646,-674.41225301212,76.36934697655295
,amine_single_point,acid_single_point,product_single_point,delta_g_reaction
0,-326.648306970027,-424.133293018646,-674.41225301212,76.36934697655295
,amine_single_point,acid_single_point,product_single_point,delta_g_reaction
0,-326.648306970027,-424.133293018646,-674.41225301212,76.36934697655295
,amine_single_point,acid_single_point,product_single_point,delta_g_reaction
0,-326.648306970027,-386.055362989,-636.332603228604,76.37106673042308
,amine_single_point,acid_single_point,product_single_point,delta_g_reaction
0,-326.648306970027,-386.055362989,-636.332603228604,76.37106673042308
,amine_single_point,acid_single_point,product_single_point,delta_g_reaction
0,-326.648306970027,-464.617985873583,-714.890966446911,76.37532639669905
,amine_single_point,acid_single_point,product_single_point,delta_g_reaction
0,-326.648306970027,-464.617985873583,-714.890966446911,76.37532639669905
,amine_single_point,acid_single_point,product_single_point,delta_g_reaction
0,-326.648306970027,-464.617985873583,-714.890966446911,76.37532639669905
,amine_single_point,acid_single_point,product_single_point,delta_g_reaction
0,-326.648306970027,-346.769592514877,-597.054968365351,76.36293111955297
,amine_single_point,acid_single_point,product_single_point,delta_g_reaction
