,MaxEStateIndex,MinEStateIndex,MaxAbsEStateIndex,MinAbsEStateIndex,qed,MolWt,HeavyAtomMolWt,ExactMolWt,NumValenceElectrons,MaxPartialCharge,MinPartialCharge,MaxAbsPartialCharge,MinAbsPartialCharge,FpDensityMorgan1,FpDensityMorgan2,FpDensityMorgan3,BCUT2D_MWHI,BCUT2D_MWLOW,BCUT2D_CHGHI,BCUT2D_CHGLO,BCUT2D_LOGPHI,BCUT2D_LOGPLOW,BCUT2D_MRHI,BCUT2D_MRLOW,BalabanJ,BertzCT,Chi0,Chi0n,Chi0v,Chi1,Chi1n,Chi1v,Chi2n,Chi2v,Chi3n,Chi3v,Chi4n,Chi4v,HallKierAlpha,Ipc,Kappa1,Kappa2,Kappa3,LabuteASA,PEOE_VSA1,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA14,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,SMR_VSA1,SMR_VSA10,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,SMR_VSA9,SlogP_VSA1,SlogP_VSA10,SlogP_VSA11,SlogP_VSA12,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA7,SlogP_VSA8,TPSA,EState_VSA1,EState_VSA10,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA7,EState_VSA8,EState_VSA9,VSA_EState1,VSA_EState10,VSA_EState2,VSA_EState3,VSA_EState4,VSA_EState5,VSA_EState6,VSA_EState7,VSA_EState8,VSA_EState9,FractionCSP3,HeavyAtomCount,NHOHCount,NOCount,NumAliphaticCarbocycles,NumAliphaticRings,NumAromaticCarbocycles,NumAromaticHeterocycles,NumAromaticRings,NumHAcceptors,NumHDonors,NumHeteroatoms,NumRotatableBonds,NumSaturatedCarbocycles,NumSaturatedRings,RingCount,MolLogP,MolMR,fr_Al_COO,fr_Al_OH,fr_Al_OH_noTert,fr_Ar_COO,fr_Ar_N,fr_Ar_NH,fr_COO,fr_COO2,fr_C_O,fr_C_O_noCOO,fr_NH0,fr_NH1,fr_NH2,fr_Nhpyrrole,fr_alkyl_carbamate,fr_allylic_oxid,fr_amide,fr_aryl_methyl,fr_benzene,fr_bicyclic,fr_ester,fr_ether,fr_furan,fr_halogen,fr_methoxy,fr_nitrile,fr_para_hydroxylation,fr_thiophene,fr_unbrch_alkane
O=C(O)C1CCCCC1,10.354351851851852,-0.6021296296296292,10.354351851851852,0.02893518518518534,0.5826262077268317,128.17100000000002,116.07499999999997,128.083729624,52.0,0.30598714269546706,-0.4810264618631636,0.4810264618631636,0.30598714269546706,1.2222222222222223,1.7777777777777777,2.111111111111111,16.366467482936702,9.895221300486218,2.1872586047939295,-2.1580150713288173,2.2264024134338176,-2.1572827243014254,5.694335769594418,-0.14225808996261022,2.3121915335681975,103.48377837619049,6.69023444431199,5.468346061086185,5.468346061086185,4.304530452640311,3.5329026585044496,3.5329026585044496,2.673171534016989,2.673171534016989,1.954412568024261,1.954412568024261,1.349539252086939,1.349539252086939,-0.53,129.22533870330605,6.588063754427392,2.852566645594043,1.6989023562471834,54.87882841291976,5.106527394840706,0.0,0.0,0.0,5.969305287951849,4.794537184071822,0.0,0.0,0.0,19.26246486877803,12.841643245852019,0.0,5.917906046161393,9.901064578912528,5.969305287951849,0.0,0.0,5.917906046161393,32.10410811463005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.075832682792555,4.794537184071822,5.917906046161393,32.10410811463005,0.0,0.0,0.0,37.3,5.969305287951849,4.794537184071822,5.917906046161393,0.0,25.683286491704038,6.4208216229260096,0.0,0.0,0.0,5.106527394840706,0.0,0.0,10.354351851851852,8.53824074074074,0.0,-0.6310648148148146,0.0,5.238472222222222,0.0,0.0,0.8571428571428571,9.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.6513,34.210799999999985,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
O=C(O)C1CCCCC1,10.354351851851852,-0.6021296296296292,10.354351851851852,0.02893518518518534,0.5826262077268317,128.17100000000002,116.07499999999997,128.083729624,52.0,0.30598714269546706,-0.4810264618631636,0.4810264618631636,0.30598714269546706,1.2222222222222223,1.7777777777777777,2.111111111111111,16.366467482936702,9.895221300486218,2.1872586047939295,-2.1580150713288173,2.2264024134338176,-2.1572827243014254,5.694335769594418,-0.14225808996261022,2.3121915335681975,103.48377837619049,6.69023444431199,5.468346061086185,5.468346061086185,4.304530452640311,3.5329026585044496,3.5329026585044496,2.673171534016989,2.673171534016989,1.954412568024261,1.954412568024261,1.349539252086939,1.349539252086939,-0.53,129.22533870330605,6.588063754427392,2.852566645594043,1.6989023562471834,54.87882841291976,5.106527394840706,0.0,0.0,0.0,5.969305287951849,4.794537184071822,0.0,0.0,0.0,19.26246486877803,12.841643245852019,0.0,5.917906046161393,9.901064578912528,5.969305287951849,0.0,0.0,5.917906046161393,32.10410811463005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.075832682792555,4.794537184071822,5.917906046161393,32.10410811463005,0.0,0.0,0.0,37.3,5.969305287951849,4.794537184071822,5.917906046161393,0.0,25.683286491704038,6.4208216229260096,0.0,0.0,0.0,5.106527394840706,0.0,0.0,10.354351851851852,8.53824074074074,0.0,-0.6310648148148146,0.0,5.238472222222222,0.0,0.0,0.8571428571428571,9.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.6513,34.210799999999985,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
O=C(O)C1CCCCC1,10.354351851851852,-0.6021296296296292,10.354351851851852,0.02893518518518534,0.5826262077268317,128.17100000000002,116.07499999999997,128.083729624,52.0,0.30598714269546706,-0.4810264618631636,0.4810264618631636,0.30598714269546706,1.2222222222222223,1.7777777777777777,2.111111111111111,16.366467482936702,9.895221300486218,2.1872586047939295,-2.1580150713288173,2.2264024134338176,-2.1572827243014254,5.694335769594418,-0.14225808996261022,2.3121915335681975,103.48377837619049,6.69023444431199,5.468346061086185,5.468346061086185,4.304530452640311,3.5329026585044496,3.5329026585044496,2.673171534016989,2.673171534016989,1.954412568024261,1.954412568024261,1.349539252086939,1.349539252086939,-0.53,129.22533870330605,6.588063754427392,2.852566645594043,1.6989023562471834,54.87882841291976,5.106527394840706,0.0,0.0,0.0,5.969305287951849,4.794537184071822,0.0,0.0,0.0,19.26246486877803,12.841643245852019,0.0,5.917906046161393,9.901064578912528,5.969305287951849,0.0,0.0,5.917906046161393,32.10410811463005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.075832682792555,4.794537184071822,5.917906046161393,32.10410811463005,0.0,0.0,0.0,37.3,5.969305287951849,4.794537184071822,5.917906046161393,0.0,25.683286491704038,6.4208216229260096,0.0,0.0,0.0,5.106527394840706,0.0,0.0,10.354351851851852,8.53824074074074,0.0,-0.6310648148148146,0.0,5.238472222222222,0.0,0.0,0.8571428571428571,9.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.6513,34.210799999999985,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
O=C(O)C1CCCCC1,10.354351851851852,-0.6021296296296292,10.354351851851852,0.02893518518518534,0.5826262077268317,128.17100000000002,116.07499999999997,128.083729624,52.0,0.30598714269546706,-0.4810264618631636,0.4810264618631636,0.30598714269546706,1.2222222222222223,1.7777777777777777,2.111111111111111,16.366467482936702,9.895221300486218,2.1872586047939295,-2.1580150713288173,2.2264024134338176,-2.1572827243014254,5.694335769594418,-0.14225808996261022,2.3121915335681975,103.48377837619049,6.69023444431199,5.468346061086185,5.468346061086185,4.304530452640311,3.5329026585044496,3.5329026585044496,2.673171534016989,2.673171534016989,1.954412568024261,1.954412568024261,1.349539252086939,1.349539252086939,-0.53,129.22533870330605,6.588063754427392,2.852566645594043,1.6989023562471834,54.87882841291976,5.106527394840706,0.0,0.0,0.0,5.969305287951849,4.794537184071822,0.0,0.0,0.0,19.26246486877803,12.841643245852019,0.0,5.917906046161393,9.901064578912528,5.969305287951849,0.0,0.0,5.917906046161393,32.10410811463005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.075832682792555,4.794537184071822,5.917906046161393,32.10410811463005,0.0,0.0,0.0,37.3,5.969305287951849,4.794537184071822,5.917906046161393,0.0,25.683286491704038,6.4208216229260096,0.0,0.0,0.0,5.106527394840706,0.0,0.0,10.354351851851852,8.53824074074074,0.0,-0.6310648148148146,0.0,5.238472222222222,0.0,0.0,0.8571428571428571,9.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.6513,34.210799999999985,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
O=C(O)CCCc1ccccc1,10.189513731418494,-0.7167304421768701,10.189513731418494,0.2588236961451247,0.7394137316906194,164.204,152.10799999999998,164.083729624,64.0,0.3028514950888305,-0.48123025170040323,0.48123025170040323,0.3028514950888305,1.25,1.9166666666666667,2.5,16.36512313262551,10.093839747435634,1.9615184738821014,-1.9693034386753578,2.0330125970480437,-1.9495410626326422,5.660994395534948,-0.13660821357714634,2.290572056240154,241.27530899395387,8.811554787871634,6.863533575471594,6.863533575471594,5.787693700234704,4.045521326691418,4.045521326691418,2.7328904934701166,2.7328904934701166,1.698918658756531,1.698918658756531,1.0884154558755201,1.0884154558755201,-1.31,567.1150534979386,8.783545369504209,4.544018446795469,3.191164645691246,71.84692742932317,5.106527394840706,0.0,0.0,0.0,5.969305287951849,4.794537184071822,0.0,0.0,0.0,30.33183534230805,18.405094737549014,6.4208216229260096,0.0,9.901064578912528,5.969305287951849,0.0,0.0,0.0,19.26246486877803,0.0,35.89528683400505,0.0,0.0,0.0,0.0,0.0,11.075832682792555,11.21535880699783,0.0,18.405094737549014,30.33183534230805,0.0,0.0,37.3,5.969305287951849,4.794537184071822,6.4208216229260096,0.0,12.841643245852019,5.563451491696996,0.0,30.33183534230805,0.0,5.106527394840706,0.0,0.0,10.189513731418494,8.391490614764425,1.207175925925926,-0.7167304421768701,9.927180177626605,1.8347033257747543,0.0,0.0,0.3,12.0,1.0,2.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,2.0,4.0,0.0,0.0,1.0,2.0939,47.01580000000003,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
O=C(O)CCCc1ccccc1,10.189513731418494,-0.7167304421768701,10.189513731418494,0.2588236961451247,0.7394137316906194,164.204,152.10799999999998,164.083729624,64.0,0.3028514950888305,-0.48123025170040323,0.48123025170040323,0.3028514950888305,1.25,1.9166666666666667,2.5,16.36512313262551,10.093839747435634,1.9615184738821014,-1.9693034386753578,2.0330125970480437,-1.9495410626326422,5.660994395534948,-0.13660821357714634,2.290572056240154,241.27530899395387,8.811554787871634,6.863533575471594,6.863533575471594,5.787693700234704,4.045521326691418,4.045521326691418,2.7328904934701166,2.7328904934701166,1.698918658756531,1.698918658756531,1.0884154558755201,1.0884154558755201,-1.31,567.1150534979386,8.783545369504209,4.544018446795469,3.191164645691246,71.84692742932317,5.106527394840706,0.0,0.0,0.0,5.969305287951849,4.794537184071822,0.0,0.0,0.0,30.33183534230805,18.405094737549014,6.4208216229260096,0.0,9.901064578912528,5.969305287951849,0.0,0.0,0.0,19.26246486877803,0.0,35.89528683400505,0.0,0.0,0.0,0.0,0.0,11.075832682792555,11.21535880699783,0.0,18.405094737549014,30.33183534230805,0.0,0.0,37.3,5.969305287951849,4.794537184071822,6.4208216229260096,0.0,12.841643245852019,5.563451491696996,0.0,30.33183534230805,0.0,5.106527394840706,0.0,0.0,10.189513731418494,8.391490614764425,1.207175925925926,-0.7167304421768701,9.927180177626605,1.8347033257747543,0.0,0.0,0.3,12.0,1.0,2.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,2.0,4.0,0.0,0.0,1.0,2.0939,47.01580000000003,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
O=C(O)CCCc1ccccc1,10.189513731418494,-0.7167304421768701,10.189513731418494,0.2588236961451247,0.7394137316906194,164.204,152.10799999999998,164.083729624,64.0,0.3028514950888305,-0.48123025170040323,0.48123025170040323,0.3028514950888305,1.25,1.9166666666666667,2.5,16.36512313262551,10.093839747435634,1.9615184738821014,-1.9693034386753578,2.0330125970480437,-1.9495410626326422,5.660994395534948,-0.13660821357714634,2.290572056240154,241.27530899395387,8.811554787871634,6.863533575471594,6.863533575471594,5.787693700234704,4.045521326691418,4.045521326691418,2.7328904934701166,2.7328904934701166,1.698918658756531,1.698918658756531,1.0884154558755201,1.0884154558755201,-1.31,567.1150534979386,8.783545369504209,4.544018446795469,3.191164645691246,71.84692742932317,5.106527394840706,0.0,0.0,0.0,5.969305287951849,4.794537184071822,0.0,0.0,0.0,30.33183534230805,18.405094737549014,6.4208216229260096,0.0,9.901064578912528,5.969305287951849,0.0,0.0,0.0,19.26246486877803,0.0,35.89528683400505,0.0,0.0,0.0,0.0,0.0,11.075832682792555,11.21535880699783,0.0,18.405094737549014,30.33183534230805,0.0,0.0,37.3,5.969305287951849,4.794537184071822,6.4208216229260096,0.0,12.841643245852019,5.563451491696996,0.0,30.33183534230805,0.0,5.106527394840706,0.0,0.0,10.189513731418494,8.391490614764425,1.207175925925926,-0.7167304421768701,9.927180177626605,1.8347033257747543,0.0,0.0,0.3,12.0,1.0,2.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,2.0,4.0,0.0,0.0,1.0,2.0939,47.01580000000003,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
O=C(O)CCCc1ccccc1,10.189513731418494,-0.7167304421768701,10.189513731418494,0.2588236961451247,0.7394137316906194,164.204,152.10799999999998,164.083729624,64.0,0.3028514950888305,-0.48123025170040323,0.48123025170040323,0.3028514950888305,1.25,1.9166666666666667,2.5,16.36512313262551,10.093839747435634,1.9615184738821014,-1.9693034386753578,2.0330125970480437,-1.9495410626326422,5.660994395534948,-0.13660821357714634,2.290572056240154,241.27530899395387,8.811554787871634,6.863533575471594,6.863533575471594,5.787693700234704,4.045521326691418,4.045521326691418,2.7328904934701166,2.7328904934701166,1.698918658756531,1.698918658756531,1.0884154558755201,1.0884154558755201,-1.31,567.1150534979386,8.783545369504209,4.544018446795469,3.191164645691246,71.84692742932317,5.106527394840706,0.0,0.0,0.0,5.969305287951849,4.794537184071822,0.0,0.0,0.0,30.33183534230805,18.405094737549014,6.4208216229260096,0.0,9.901064578912528,5.969305287951849,0.0,0.0,0.0,19.26246486877803,0.0,35.89528683400505,0.0,0.0,0.0,0.0,0.0,11.075832682792555,11.21535880699783,0.0,18.405094737549014,30.33183534230805,0.0,0.0,37.3,5.969305287951849,4.794537184071822,6.4208216229260096,0.0,12.841643245852019,5.563451491696996,0.0,30.33183534230805,0.0,5.106527394840706,0.0,0.0,10.189513731418494,8.391490614764425,1.207175925925926,-0.7167304421768701,9.927180177626605,1.8347033257747543,0.0,0.0,0.3,12.0,1.0,2.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,2.0,4.0,0.0,0.0,1.0,2.0939,47.01580000000003,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
O=C(O)C1CCCCC1,10.354351851851852,-0.6021296296296292,10.354351851851852,0.02893518518518534,0.5826262077268317,128.17100000000002,116.07499999999997,128.083729624,52.0,0.30598714269546706,-0.4810264618631636,0.4810264618631636,0.30598714269546706,1.2222222222222223,1.7777777777777777,2.111111111111111,16.366467482936702,9.895221300486218,2.1872586047939295,-2.1580150713288173,2.2264024134338176,-2.1572827243014254,5.694335769594418,-0.14225808996261022,2.3121915335681975,103.48377837619049,6.69023444431199,5.468346061086185,5.468346061086185,4.304530452640311,3.5329026585044496,3.5329026585044496,2.673171534016989,2.673171534016989,1.954412568024261,1.954412568024261,1.349539252086939,1.349539252086939,-0.53,129.22533870330605,6.588063754427392,2.852566645594043,1.6989023562471834,54.87882841291976,5.106527394840706,0.0,0.0,0.0,5.969305287951849,4.794537184071822,0.0,0.0,0.0,19.26246486877803,12.841643245852019,0.0,5.917906046161393,9.901064578912528,5.969305287951849,0.0,0.0,5.917906046161393,32.10410811463005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.075832682792555,4.794537184071822,5.917906046161393,32.10410811463005,0.0,0.0,0.0,37.3,5.969305287951849,4.794537184071822,5.917906046161393,0.0,25.683286491704038,6.4208216229260096,0.0,0.0,0.0,5.106527394840706,0.0,0.0,10.354351851851852,8.53824074074074,0.0,-0.6310648148148146,0.0,5.238472222222222,0.0,0.0,0.8571428571428571,9.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.6513,34.210799999999985,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
O=C(O)CCCc1ccccc1,10.189513731418494,-0.7167304421768701,10.189513731418494,0.2588236961451247,0.7394137316906194,164.204,152.10799999999998,164.083729624,64.0,0.3028514950888305,-0.48123025170040323,0.48123025170040323,0.3028514950888305,1.25,1.9166666666666667,2.5,16.36512313262551,10.093839747435634,1.9615184738821014,-1.9693034386753578,2.0330125970480437,-1.9495410626326422,5.660994395534948,-0.13660821357714634,2.290572056240154,241.27530899395387,8.811554787871634,6.863533575471594,6.863533575471594,5.787693700234704,4.045521326691418,4.045521326691418,2.7328904934701166,2.7328904934701166,1.698918658756531,1.698918658756531,1.0884154558755201,1.0884154558755201,-1.31,567.1150534979386,8.783545369504209,4.544018446795469,3.191164645691246,71.84692742932317,5.106527394840706,0.0,0.0,0.0,5.969305287951849,4.794537184071822,0.0,0.0,0.0,30.33183534230805,18.405094737549014,6.4208216229260096,0.0,9.901064578912528,5.969305287951849,0.0,0.0,0.0,19.26246486877803,0.0,35.89528683400505,0.0,0.0,0.0,0.0,0.0,11.075832682792555,11.21535880699783,0.0,18.405094737549014,30.33183534230805,0.0,0.0,37.3,5.969305287951849,4.794537184071822,6.4208216229260096,0.0,12.841643245852019,5.563451491696996,0.0,30.33183534230805,0.0,5.106527394840706,0.0,0.0,10.189513731418494,8.391490614764425,1.207175925925926,-0.7167304421768701,9.927180177626605,1.8347033257747543,0.0,0.0,0.3,12.0,1.0,2.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,2.0,4.0,0.0,0.0,1.0,2.0939,47.01580000000003,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
