amine_L_1,amine_B1_1,amine_B5_1,amine_L_2,amine_B1_2,amine_B5_2,amine_L_3,amine_B1_3,amine_B5_3,acid_L,acid_B1,acid_B5,catalyst_L_1,catalyst_B1_1,catalyst_B5_1,catalyst_L_2,catalyst_B1_2,catalyst_B5_2,catalyst_L_3,catalyst_B1_3,catalyst_B5_3
6.036073162029357,1.9277654523923515,6.082716291059539,2.1164182244037146,1.6333950808595794,4.61056984780728,2.118708877403157,1.3992032145982225,7.215725831032438,6.364195114844874,2.0521881205299963,3.5577211011962158,7.540483572226161,1.763844012745366,3.290552222749189,2.946715309249327,1.6763590556968189,6.664752707690917,2.858585565898151,1.6766714530147506,7.216224975186622
6.036073162029357,1.9277654523923515,6.082716291059539,2.1164182244037146,1.6333950808595794,4.61056984780728,2.118708877403157,1.3992032145982225,7.215725831032438,6.364195114844874,2.0521881205299963,3.5577211011962158,6.552167091644716,1.9651561357533456,4.334192321652697,2.9495346395858926,1.8955876261782691,6.6474420494550825,2.8633136067954843,1.7945495098179605,6.108810134078526
6.036073162029357,1.9277654523923515,6.082716291059539,2.1164182244037146,1.6333950808595794,4.61056984780728,2.118708877403157,1.3992032145982225,7.215725831032438,6.364195114844874,2.0521881205299963,3.5577211011962158,2.8673325679282007,1.657387027994038,5.983957647314238,2.891939770722473,1.6445150002331657,5.804820974567077,6.011795964341716,1.7,4.864575735679084
6.036073162029357,1.9277654523923515,6.082716291059539,2.1164182244037146,1.6333950808595794,4.61056984780728,2.118708877403157,1.3992032145982225,7.215725831032438,6.364195114844874,2.0521881205299963,3.5577211011962158,2.866814054426223,1.6962032141943706,5.841752685697612,2.889264923754994,1.68587315534107,5.802103472941885,5.848337240693988,1.7,4.868069282386365
6.036073162029357,1.9277654523923515,6.082716291059539,2.1164182244037146,1.6333950808595794,4.61056984780728,2.118708877403157,1.3992032145982225,7.215725831032438,6.998610243282987,2.086111012189363,7.59569529065311,7.540483572226161,1.763844012745366,3.290552222749189,2.946715309249327,1.6763590556968189,6.664752707690917,2.858585565898151,1.6766714530147506,7.216224975186622
6.036073162029357,1.9277654523923515,6.082716291059539,2.1164182244037146,1.6333950808595794,4.61056984780728,2.118708877403157,1.3992032145982225,7.215725831032438,6.998610243282987,2.086111012189363,7.59569529065311,7.540483572226161,1.763844012745366,3.290552222749189,2.946715309249327,1.6763590556968189,6.664752707690917,2.858585565898151,1.6766714530147506,7.216224975186622
6.036073162029357,1.9277654523923515,6.082716291059539,2.1164182244037146,1.6333950808595794,4.61056984780728,2.118708877403157,1.3992032145982225,7.215725831032438,6.998610243282987,2.086111012189363,7.59569529065311,7.540483572226161,1.763844012745366,3.290552222749189,2.946715309249327,1.6763590556968189,6.664752707690917,2.858585565898151,1.6766714530147506,7.216224975186622
6.036073162029357,1.9277654523923515,6.082716291059539,2.1164182244037146,1.6333950808595794,4.61056984780728,2.118708877403157,1.3992032145982225,7.215725831032438,6.998610243282987,2.086111012189363,7.59569529065311,2.8870427169115818,1.946771706395055,7.494355744671965,2.886912712915921,1.996865377567957,7.4808887614552235,7.639259515092756,2.205796218318613,6.335579149352372
6.036073162029357,1.9277654523923515,6.082716291059539,2.1164182244037146,1.6333950808595794,4.61056984780728,2.118708877403157,1.3992032145982225,7.215725831032438,6.364195114844874,2.0521881205299963,3.5577211011962158,7.540483572226161,1.763844012745366,3.290552222749189,2.946715309249327,1.6763590556968189,6.664752707690917,2.858585565898151,1.6766714530147506,7.216224975186622
3.1396602598182666,1.9179066611843425,4.470805817604413,6.111533817868563,1.9719525303658634,6.03386701515956,2.6241845328603812,2.0470446384695054,7.136103169331445,6.998610243282987,2.086111012189363,7.59569529065311,7.540483572226161,1.763844012745366,3.290552222749189,2.946715309249327,1.6763590556968189,6.664752707690917,2.858585565898151,1.6766714530147506,7.216224975186622
6.036073162029357,1.9277654523923515,6.082716291059539,2.1164182244037146,1.6333950808595794,4.61056984780728,2.118708877403157,1.3992032145982225,7.215725831032438,5.461543246302399,2.220990221376132,5.992749572698706,7.540483572226161,1.763844012745366,3.290552222749189,2.946715309249327,1.6763590556968189,6.664752707690917,2.858585565898151,1.6766714530147506,7.216224975186622
6.036073162029357,1.9277654523923515,6.082716291059539,2.1164182244037146,1.6333950808595794,4.61056984780728,2.118708877403157,1.3992032145982225,7.215725831032438,5.461543246302399,2.220990221376132,5.992749572698706,7.540483572226161,1.763844012745366,3.290552222749189,2.946715309249327,1.6763590556968189,6.664752707690917,2.858585565898151,1.6766714530147506,7.216224975186622
6.036073162029357,1.9277654523923515,6.082716291059539,2.1164182244037146,1.6333950808595794,4.61056984780728,2.118708877403157,1.3992032145982225,7.215725831032438,5.461543246302399,2.220990221376132,5.992749572698706,7.540483572226161,1.763844012745366,3.290552222749189,2.946715309249327,1.6763590556968189,6.664752707690917,2.858585565898151,1.6766714530147506,7.216224975186622
6.036073162029357,1.9277654523923515,6.082716291059539,2.1164182244037146,1.6333950808595794,4.61056984780728,2.118708877403157,1.3992032145982225,7.215725831032438,4.674163033239268,1.865017149228239,6.189750402236152,7.540483572226161,1.763844012745366,3.290552222749189,2.946715309249327,1.6763590556968189,6.664752707690917,2.858585565898151,1.6766714530147506,7.216224975186622
6.390872875499203,1.7,3.2608156446602856,2.198393871012014,1.1,5.826545771174274,2.2167999452101554,1.1,5.837343679452882,5.461543246302399,2.220990221376132,5.992749572698706,7.540483572226161,1.763844012745366,3.290552222749189,2.946715309249327,1.6763590556968189,6.664752707690917,2.858585565898151,1.6766714530147506,7.216224975186622
