index,amine_single_point,acid_single_point,product_single_point,delta_g_reaction
0,-251.702040513477,-459.789652523467,-635.121002845622,76.37069019132196
0,-213.623724027019,-690.657420041659,-827.922657610515,76.35848645816294
0,-326.648306970027,-459.794802426792,-710.074243749594,76.368865647225
0,-365.91968127061006,-538.354184706518,-827.9062054786481,76.36766049848006
0,-326.648306970027,-459.794802426792,-710.074243749594,76.368865647225
0,-326.648306970027,-459.794802426792,-710.074243749594,76.368865647225
0,-326.648306970027,-538.354184706518,-788.6412408650459,76.36125081149908
0,-326.648306970027,-512.693125225355,-762.9692773458839,76.37215484949786
0,-326.648306970027,-512.693125225355,-762.9692773458839,76.37215484949786
0,-326.648306970027,-538.354184706518,-788.6412408650459,76.36125081149908
0,-326.648306970027,-424.133226179889,-674.41225301212,76.36928013779595
0,-326.648306970027,-459.794802426792,-710.074243749594,76.368865647225
0,-326.648306970027,-459.794802426792,-710.074243749594,76.368865647225
0,-326.648306970027,-459.794802426792,-710.074243749594,76.368865647225
0,-326.648306970027,-424.14392926518997,-674.41225301212,76.37998322309704
0,-326.648306970027,-459.789652523467,-710.074243749594,76.3637157439
0,-212.413061360923,-459.789652523467,-595.843698382107,76.359015502283
0,-326.648306970027,-418.318154103384,-668.594497458085,76.37196361532597
0,-326.648306970027,-459.789652523467,-710.074243749594,76.3637157439
0,-292.183161833242,-778.8451563114411,-994.669375441961,76.35894270272195
0,-326.648306970027,-459.794802426792,-710.074243749594,76.368865647225
0,-326.648306970027,-459.794802426792,-710.074243749594,76.368865647225
0,-326.648306970027,-459.794802426792,-710.074243749594,76.368865647225
0,-326.648306970027,-424.133226179889,-674.41225301212,76.36928013779595
0,-326.648306970027,-538.354184706518,-788.6412408650459,76.36125081149908
0,-326.648306970027,-538.354184706518,-788.6412408650459,76.36125081149908
0,-326.648306970027,-538.354184706518,-788.6412408650459,76.36125081149908
0,-326.648306970027,-459.794802426792,-710.074243749594,76.368865647225
0,-326.648306970027,-459.794802426792,-710.074243749594,76.368865647225
0,-212.413061360923,-459.789652523467,-595.843698382107,76.359015502283
0,-326.648306970027,-459.789652523467,-710.074243749594,76.3637157439
0,-326.648306970027,-741.219640844093,-991.5050937299831,76.3628540841371
0,-213.623724027019,-690.657420041659,-827.922657610515,76.35848645816294
0,-326.648306970027,-425.33419847717204,-675.612350592516,76.37015485468294
0,-882.266458766724,-879.9810263429159,-1685.860960572175,76.38652453746501
0,-212.413317387514,-459.794802426792,-595.843698382107,76.36442143219892
0,-326.648306970027,-459.794802426792,-710.074243749594,76.368865647225
0,-326.648306970027,-459.794802426792,-710.074243749594,76.368865647225
0,-326.648306970027,-538.354184706518,-788.6412408650459,76.36125081149908
0,-326.648306970027,-420.51184549298404,-670.796894732494,76.36325773051692
0,-326.648306970027,-420.51184549298404,-670.796894732494,76.36325773051692
0,-326.648306970027,-538.354184706518,-788.6412408650459,76.36125081149908
0,-326.648306970027,-459.794802426792,-710.074243749594,76.368865647225
0,-326.648306970027,-459.794802426792,-710.074243749594,76.368865647225
0,-326.648306970027,-459.789652523467,-710.074243749594,76.3637157439
0,-497.410616069019,-459.794802426792,-880.840115569964,76.36530292584699
0,-213.623724027019,-459.789652523467,-597.048306751282,76.365069799204
0,-213.623724027019,-690.657420041659,-827.922657610515,76.35848645816294
0,-326.648306970027,-425.33419847717204,-675.612350592516,76.37015485468294
0,-213.623724027019,-690.657420041659,-827.922657610515,76.35848645816294
