Reaction Smiles,Yield /%
CNCC1=CC=CC=C1.O=C(O)CCCC1=CC=CC=C1>[H]B1OC2=C(C(Cl)=C(C(Cl)=C2O1)Cl)Cl>CN(Cc1ccccc1)C(=O)CCCc1ccccc1,26
NCC1=CC=CC=C1.O=C(O)C1=CC=CC=C1>OB(O)C1=CC(C(F)(F)F)=CC(C(F)(F)F)=C1>O=C(NCc1ccccc1)c1ccccc1,59
NCC1=CC=CC=C1.O=C(O)C1=CC=CC=C1>[H]B1OC2=C(C(Cl)=C(C(Cl)=C2O1)Cl)Cl>O=C(NCc1ccccc1)c1ccccc1,51
CNCC1=CC=CC=C1.O=C(O)C1=CC=CC=C1>OB(O)C1=CC(C(F)(F)F)=CC(C(F)(F)F)=C1>CN(Cc1ccccc1)C(=O)c1ccccc1,37
CNCC1=CC=CC=C1.O=C(O)C1=CC=CC=C1>[H]B1OC2=C(C(Cl)=C(C(Cl)=C2O1)Cl)Cl>CN(Cc1ccccc1)C(=O)c1ccccc1,16
NCC1=CC=CC=C1.OC(C1CCCCC1)=O>OB(O)C1=CC(C(F)(F)F)=CC(C(F)(F)F)=C1>O=C(NCc1ccccc1)C1CCCCC1,32
NCC1=CC=CC=C1.OC(C1CCCCC1)=O>[H]B1OC2=C(C(Cl)=C(C(Cl)=C2O1)Cl)Cl>O=C(NCc1ccccc1)C1CCCCC1,62
NCC1=CC=CC=C1.OC(C1CCCCC1)=O>[H]B1OC2=C(C(Cl)=C(C(Cl)=C2O1)Cl)Cl>O=C(NCc1ccccc1)C1CCCCC1,94
NCC1=CC=CC=C1.CCC(C(O)=O)CC>OB(O)C1=CC(C(F)(F)F)=CC(C(F)(F)F)=C1>CCC(CC)C(=O)NCc1ccccc1,8
NCC1=CC=CC=C1.CCC(C(O)=O)CC>[H]B1OC2=C(C(Cl)=C(C(Cl)=C2O1)Cl)Cl>CCC(CC)C(=O)NCc1ccccc1,93
NCC1=CC=CC=C1.OC(C(CCC)CCC)=O>OB(O)C1=CC(C(F)(F)F)=CC(C(F)(F)F)=C1>CCCC(CCC)C(=O)NCc1ccccc1,11
